Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Whit Care Skin Treatment Lotion 100 ml pack of 2 WHIT CARE 40CAPSULES,COD,SONLENTERPRISES FRANCHISE,560071,639.0,Bangalore,Delivered,639.0,4183210165314,2231676
Glutalite Gel 30gm,COD,SONLENTERPRISES FRANCHISE,560029,531.0,Bangalore,Delivered,531.0,4183210164883,2231617
Aktisoft Gc Moisturising Cream 150gm and Aktisoft Moisturising Lotion 150ml Combo,COD,SONLENTERPRISES FRANCHISE,522202,1410.0,Tenali,Delivered,1410.0,4183210165325,2231675
YUZDEW MOISTURIZING CREAM 200G,COD,SONLENTERPRISES FRANCHISE,518380,595.0,Alur,Delivered,595.0,4183210165152,2231671
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,679536,459.0,Sankaramangalam,Delivered,459.0,4183210165093,2231655
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,160062,579.0,Mohali,Delivered,579.0,4183210165045,2231649
GRAZIA Up Skin Brightening Cream 30g,COD,SONLENTERPRISES FRANCHISE,134112,779.0,Panchkula,Delivered,779.0,4183210165023,2231647
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,410206,1469.0,Jasai,Delivered,1469.0,4183210165082,2231656
YUZDEW MOISTURIZING CREAM 200G,COD,SONLENTERPRISES FRANCHISE,400092,347.0,Mumbai,Delivered,347.0,4183210165130,2231644
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500036,1053.0,Hyderabad,Delivered,1053.0,4183210165373,2231686
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,222125,339.0,Badlapur,Delivered,339.0,4183210164835,2231629
