Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Biohair 30 plus Capsules,COD,SONLENTERPRISES FRANCHISE,584128,649.0,Sindhanur,Delivered,649.0,4183210176352,2232778
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,411051,1668.0,Pune,Delivered,1668.0,4183210177052,2232854
Ten on Ten Brain Wellness 60 capsules,COD,SONLENTERPRISES FRANCHISE,400708,891.0,Navi mumbai,Delivered,891.0,4183210176293,2232797
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,110025,339.0,Delhi,Delivered,339.0,4183210175593,2232718
Kushal Kanthil 5gm Pack of 6,COD,SONLENTERPRISES FRANCHISE,201002,459.0,Ghaziabad,Delivered,459.0,4183210175442,2232697
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,521151,879.0,Vijayawada,Delivered,879.0,4183210175700,2232742
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,531035,689.0,Anakapalle,Delivered,689.0,4183210175803,2232760
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,122001,399.0,Gurgaon,Delivered,399.0,4183210175420,2232707
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,570019,574.0,Mysore,Delivered,574.0,4183210175910,2232767
Kushal Kanthil 5gm Pack of 6,COD,SONLENTERPRISES FRANCHISE,641002,459.0,Coimbatore,Delivered,459.0,4183210175571,2232723
Dreamlite Face Wash 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,585106,489.0,Gulbarga,Delivered,489.0,4183210176330,2232787
Sebum akt Anti Acne Soap 75g pack of 3,COD,SONLENTERPRISES FRANCHISE,201308,459.0,Noida,Delivered,459.0,4183210176750,2232788
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534211,778.0,Tanuku,Delivered,778.0,4183210176584,2232839
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534211,778.0,Tanuku,Delivered,778.0,4183210176492,2232863
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,507001,417.0,Khammam,Delivered,417.0,4183210176956,2232870
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,581111,449.0,Hirekerur,Delivered,449.0,4183210176396,2232808
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,560054,468.0,Bangalore,Delivered,468.0,4183210176842,2232837
clearwin soap Soap spots acne 75gm each gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,570022,441.0,Mysore,Delivered,441.0,4183210176864,2232826
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,500035,778.0,Hyderabad,Delivered,778.0,4183210177074,2232882
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,442001,539.0,Wardha,Delivered,539.0,4183210175755,2232772
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,504208,377.0,Mancherial,Delivered,377.0,4183210175210,2232685
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,575014,339.0,Surathkal,Delivered,339.0,4183210176514,2232856
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,521201,489.0,Nuzvid,Delivered,489.0,4183210175766,2232771
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,521201,294.0,Nuzvid,Delivered,294.0,4183210176794,2232878
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,560099,489.0,Bangalore,Delivered,489.0,4183210175851,2232754
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,560086,2290.0,Bangalore,Delivered,2290.0,4183210176643,2232822
Atrisor Herbal Shampoo 200ml,COD,SONLENTERPRISES FRANCHISE,600017,324.0,Chennai,Delivered,324.0,4183210176654,2232820
Fenfuro 30capsules,COD,SONLENTERPRISES FRANCHISE,600004,881.0,Chennai,Delivered,881.0,4183210175523,2232733
CITRIFIZ ORANGE Vitamin C and Citrus Bioflavonoid Effervescent Tablets 20,COD,SONLENTERPRISES FRANCHISE,500080,477.0,Hyderabad,Delivered,477.0,4183210176374,2232813
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,585421,484.0,Aurad,Delivered,484.0,4183210175453,2232693
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,560102,399.0,Bangalore,Delivered,399.0,4183210176551,2232848
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,506381,699.0,Khammam,Delivered,699.0,4183210176676,2232818
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560050,778.0,Bangalore,Delivered,778.0,4183210175582,2232722
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,560103,489.0,Bangalore,Delivered,489.0,4183210175862,2232753
Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,560077,839.0,Bangalore,Delivered,839.0,4183210176385,2232811
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,560047,778.0,Bangalore,Delivered,778.0,4183210176971,2232865
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,562117,449.0,Kanakapura,Delivered,449.0,4183210175792,2232763
Haeroot Hair Serum Pack of 1,COD,SONLENTERPRISES FRANCHISE,560102,1077.0,Bangalore,Delivered,1077.0,4183210175534,2232730
STRETCH OIL 200 ml Pack Of 3,COD,SONLENTERPRISES FRANCHISE,518003,1150.0,Kurnool,Delivered,1150.0,4183210176035,2232780
STRETCH OIL 200 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,505001,819.0,Karim Nagar,Delivered,819.0,4183210175335,2232702
D 10 ANTI ACNE FACE WASH,COD,SONLENTERPRISES FRANCHISE,751002,479.0,Bhubaneshwar,Delivered,479.0,4183210175265,2232689
Dexolac Infant Formula Powder Stage 1 TO 6 Months 400 g,COD,SONLENTERPRISES FRANCHISE,342005,1695.0,Jodhpur,Delivered,1695.0,4183210175276,2232684
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,627751,999.0,Tenkasi,Delivered,999.0,4183210175280,2232683
velfour kit A 880001 18 25cm,COD,SONLENTERPRISES FRANCHISE,639118,1846.0,Gujiliamparai,Delivered,1846.0,4183210175114,2232665
