Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Follihair New Tablets 30caps,COD,SONLENTERPRISES FRANCHISE,581320,639.0,Bhatkal,Delivered,639.0,4183210181226,2233370
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,585106,489.0,Gulbarga,Delivered,489.0,4183210180961,2233340
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,793003,1569.0,Shillong,Delivered,1569.0,4183210180633,2233298
Keto medicated Soap PACK Of 3,COD,SONLENTERPRISES FRANCHISE,577528,783.0,Jagaluru,Delivered,783.0,4183210181204,2233372
HOLLISTER 55MM REF 35500 Pack Of 5,COD,SONLENTERPRISES FRANCHISE,673620,1463.0,Koyilandy,Delivered,1463.0,4183210181215,2233371
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,560067,2490.0,Bangalore,Delivered,2490.0,4183210181344,2233373
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,751031,399.0,Bhubaneshwar,Delivered,399.0,4183210181005,2233349
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,517501,484.0,Tirupati,Delivered,484.0,4183210181134,2233344
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,560056,399.0,Bangalore,Delivered,399.0,4183210181160,2233363
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,122001,419.0,Gurgaon,Delivered,419.0,4183210180994,2233350
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,515455,459.0,Gooty,Delivered,459.0,4183210181252,2233366
GLOSKIN SOAP 75G PACK OF 2,COD,SONLENTERPRISES FRANCHISE,517113,349.0,Pileru,Delivered,349.0,4183210181090,2233356
WASA mousse 200ml,COD,SONLENTERPRISES FRANCHISE,201301,614.0,Noida,Delivered,614.0,4183210181112,2233354
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,534218,489.0,Tanuku,Delivered,489.0,4183210181263,2233365
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,600044,778.0,Chennai,Delivered,778.0,4183210180810,2233330
KOZEL FACE WASH,COD,SONLENTERPRISES FRANCHISE,285001,329.0,Orai,Delivered,329.0,4183210180666,2233311
ALBO SANG 400gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,262122,499.0,Puranpur,Delivered,499.0,4183210180795,2233334
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,262122,299.0,Puranpur,Delivered,299.0,4183210180913,2233328
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,560073,389.0,Bangalore,Delivered,389.0,4183210181145,2233361
Cicatrix Cream 15ml,COD,SONLENTERPRISES FRANCHISE,176001,2460.0,Kangra,Delivered,2460.0,4183210180880,2233324
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400065,1469.0,Mumbai,Delivered,1469.0,4183210180950,2233341
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,752077,749.0,Kalapathar,Delivered,749.0,4183210180806,2233333
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,225001,879.0,Barabanki,Delivered,879.0,4183210180596,2233294
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,587101,898.0,Bagalkot,Delivered,898.0,4183210180773,2233301
Vit Cal Hair Oil 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,431127,519.0,Georai,Delivered,519.0,4183210180644,2233297
Glambak Gel 20g,COD,SONLENTERPRISES FRANCHISE,152116,388.0,Abohar,Delivered,388.0,4183210180250,2233223
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,481661,1668.0,Mandla,Delivered,1668.0,4183210180574,2233292
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,110054,259.0,Delhi,Delivered,259.0,4183210180854,2233335
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,444705,898.0,Daryapur,Delivered,898.0,4183210180751,2233295
Norma Silicone Gel Sheets 10cm X 10cm,COD,SONLENTERPRISES FRANCHISE,532218,2417.0,Palasa,Delivered,2417.0,4183210180611,2233300
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,515761,459.0,Kalyandurg,Delivered,459.0,4183210180924,2233339
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,532001,778.0,Srikakulam,Delivered,778.0,4183210180655,2233314
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,603112,417.0,Chennai,Delivered,417.0,4183210180202,2233243
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,515455,459.0,Gooty,Delivered,459.0,4183210180902,2233337
Glutalite Gel 30gm,COD,SONLENTERPRISES FRANCHISE,600096,531.0,Chennai,Delivered,531.0,4183210180445,2233281
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,721302,626.0,Kharagpur,Delivered,626.0,4183210180504,2233282
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,516172,539.0,Proddatur,Delivered,539.0,4183210180832,2233323
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,504301,1668.0,Mancherial,Delivered,1668.0,4183210180740,2233318
Stretch Oil 200 ml,COD,SONLENTERPRISES FRANCHISE,754004,459.0,Nimapara,Delivered,459.0,4183210180456,2233280
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,400605,398.0,Thane,Delivered,398.0,4183210180552,2233287
Japani Oil 15ml pack of 2,COD,SONLENTERPRISES FRANCHISE,768040,477.0,Bargarh,Delivered,477.0,4183210180246,2233244
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,590001,1089.0,Belgaum,Delivered,1089.0,4183210180471,2233276
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,502103,484.0,Siddipet,Delivered,484.0,4183210180622,2233299
Bio Hgf Forte 30 Capsules,COD,SONLENTERPRISES FRANCHISE,534202,699.0,Bhimavaram,Delivered,699.0,4183210180670,2233309
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,534007,1250.0,Eluru,Delivered,1250.0,4183210180600,2233296
DEWMOIST SOAP 75 GM PACK OF 1,COD,SONLENTERPRISES FRANCHISE,400095,224.0,Mumbai,Delivered,224.0,4183210180541,2233284
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,452010,419.0,Indore,Delivered,419.0,4183210180320,2233265
Rosacnil Gel 70 gm,COD,SONLENTERPRISES FRANCHISE,680669,249.0,Kodungallur,Delivered,249.0,4183210180316,2233254
