Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
OMNICEUTICS CIRA SCREEN GEL SPF 50,COD,SONLENTERPRISES FRANCHISE,521301,998.0,Gudivada,Delivered,998.0,4183210161700,2231259
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,531173,655.0,Pendurthi,Delivered,655.0,4183210161571,2231247
Japani Oil 15ml pack of 2,COD,SONLENTERPRISES FRANCHISE,825322,477.0,Bagodar,Delivered,477.0,4183210161416,2231138
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400006,2868.0,Mumbai,Delivered,2868.0,4183210161663,2231223
Stevia Zero Calorie Natural High Sweetener Pack Of 2 100gm,COD,SONLENTERPRISES FRANCHISE,531025,279.0,Chodavaram,Delivered,279.0,4183210161685,2231252
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,501505,778.0,Hayathnagar,Delivered,778.0,4183210161825,2231267
Onon Ketoconazole 2 Medicated Soap 75g Pack of 2,COD,SONLENTERPRISES FRANCHISE,842001,389.0,Muzaffarpur,Delivered,389.0,4183210161044,2231137
CLARISA soap 75gm pack of 4,COD,SONLENTERPRISES FRANCHISE,560036,539.0,Bangalore,Delivered,539.0,4183210161372,2231217
BACNE BODY ACNE SPRAY Aktisoft Shower Gel 200ml,COD,SONLENTERPRISES FRANCHISE,500094,1300.0,Hyderabad,Delivered,1300.0,4183210161696,2231250
RESOURCE DIALYSIS VANILLA FLAVOUR 400G,COD,SONLENTERPRISES FRANCHISE,530009,858.0,Visakhapatnam,Delivered,858.0,4183210161501,2231212
Zinc Paste Bandage Z Paste,COD,SONLENTERPRISES FRANCHISE,494334,659.0,Kanker,Delivered,659.0,4183210161136,2231197
Skyfiz Sugar Free Effervescent Tablet 20 s,COD,SONLENTERPRISES FRANCHISE,110096,1426.0,Delhi,Delivered,1426.0,4183210161490,2231214
aktisoft moisturising Bar pack of 3 100GM,COD,SONLENTERPRISES FRANCHISE,506370,639.0,Warangal,Delivered,639.0,4183210161582,2231242
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,452001,219.0,Indore,Delivered,219.0,4183210161092,2231184
