Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,422401,879,Nashik,Delivered,879,4.18321E+12,2232496
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,561203,3068,Doddaballapura,Delivered,3068,4.18321E+12,2232500
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,506002,1250,Warangal,Delivered,1250,4.18321E+12,2232523
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,344001,499,Barmer,Delivered,499,4.18321E+12,2232421
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,765022,684,Gunupur,Delivered,684,4.18321E+12,2232519
CITRIFIZ ORANGE Vitamin C and Citrus Bioflavonoid Effervescent Tablets 20,COD,SONLENTERPRISES FRANCHISE,834004,1204,Ranchi,Delivered,1204,4.18321E+12,2232494
C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,502294,1089,Sangareddy,Delivered,1089,4.18321E+12,2232487
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,534186,1049,Bhimavaram,Delivered,1049,4.18321E+12,2232507
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,190008,399,Pulwama,Delivered,399,4.18321E+12,2232397
Glutalite Gel 30gm,COD,SONLENTERPRISES FRANCHISE,534350,531,Kovvur,Delivered,531,4.18321E+12,2232502
CITRIFIZ ORANGE Vitamin C and Citrus Bioflavonoid Effervescent Tablets 20,COD,SONLENTERPRISES FRANCHISE,517501,477,Tirupati,Delivered,477,4.18321E+12,2232516
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,505514,979,Peddapalli,Delivered,979,4.18321E+12,2232427
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,518101,377,Srisailam,Delivered,377,4.18321E+12,2232512
Menopace 30 tablets,COD,SONLENTERPRISES FRANCHISE,695584,395,Kazhakkoottam,Delivered,395,4.18321E+12,2232479
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,422004,399,Dindori-MH,Delivered,399,4.18321E+12,2232442
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,585106,489,Gulbarga,Delivered,489,4.18321E+12,2232508
