Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
PENTASURE HEPATIC Creamy Vanilla Flavour 400gm,COD,SONLENTERPRISES FRANCHISE,401105,1190.0,Mumbai,Delivered,1190.0,4183210159784,2231097
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534122,778.0,Penugonda,Delivered,778.0,4183210159773,2231100
Sensitran Tooth Powder 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,302018,459.0,Jaipur,Delivered,459.0,4183210159460,2231084
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,500076,1250.0,Hyderabad,Delivered,1250.0,4183210159891,2231114
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,110006,449.0,Delhi,Delivered,449.0,4183210159563,2231093
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,414003,459.0,Ahmednagar,Delivered,459.0,4183210159401,2231082
Novofine Aig Ster 0 25 into 6mm 31g 100Pc,COD,SONLENTERPRISES FRANCHISE,401208,1580.0,Mumbai,Delivered,1580.0,4183210159596,2231080
Sensitran Tooth Powder 100gm Pack Of 3,COD,SONLENTERPRISES FRANCHISE,495554,369.0,Akaltara,Delivered,369.0,4183210158712,2231006
Skinlite cream 25g,COD,SONLENTERPRISES FRANCHISE,441501,347.0,Nagpur,Delivered,347.0,4183210159471,2231083
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,504103,1840.0,Bhainsa,Delivered,1840.0,4183210159740,2231099
Canvaz Anti Acne Gel 15gm,COD,SONLENTERPRISES FRANCHISE,201301,1873.0,Noida,Delivered,1873.0,4183210159165,2231044
Onon Ketoconazole Shampoo 50gm Pack of 3,COD,SONLENTERPRISES FRANCHISE,756044,624.0,Soro,Delivered,624.0,4183210159106,2231047
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,532484,294.0,Srikakulam,Delivered,294.0,4183210159320,2231061
Whit Care Skin Treatment Lotion 100 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,518512,399.0,Nandyal,Delivered,399.0,4183210159412,2231077
BIOVIT D MULTIVITAMIN AND PROTEIN SUPPLEMENT FOR DIABETICS 200 gm CHOCOLATE,COD,SONLENTERPRISES FRANCHISE,600101,697.0,Chennai,Delivered,697.0,4183210159445,2231022
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,160071,1428.0,Mohali,Delivered,1428.0,4183210158760,2230990
TRIMZIT FACE WASH 100ml,COD,SONLENTERPRISES FRANCHISE,500013,477.0,Hyderabad,Delivered,477.0,4183210159434,2231075
Skyfiz Sugar Free Effervescent Tablet 20 s,COD,SONLENTERPRISES FRANCHISE,591304,777.0,Athani,Delivered,777.0,4183210159025,2231039
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,506001,2107.0,Warangal,Delivered,2107.0,4183210159036,2231038
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,307022,399.0,Pindwara,Delivered,399.0,4183210158852,2231024
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,700054,417.0,Kolkata,Delivered,417.0,4183210158922,2231015
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,522502,294.0,Guntur,Delivered,294.0,4183210159294,2231066
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,411028,2868.0,Pune,Delivered,2868.0,4183210159375,2231069
Ten on Ten Brain Wellness Tonic 200ml,COD,SONLENTERPRISES FRANCHISE,327001,1250.0,Banswara,Delivered,1250.0,4183210158992,2231042
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,500094,778.0,Hyderabad,Delivered,778.0,4183210159180,2231054
Sensitran Toothpaste 100gm Pack Of 4,COD,SONLENTERPRISES FRANCHISE,600085,459.0,Chennai,Delivered,459.0,4183210159084,2231050
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML,COD,SONLENTERPRISES FRANCHISE,400012,1569.0,Mumbai,Delivered,1569.0,4183210158830,2231031
Hairguard PH 55 Shampoo 125ml Pack of 2,COD,SONLENTERPRISES FRANCHISE,560053,621.0,Bangalore,Delivered,621.0,4183210158513,2230973
Recute Oil 100 ml prosit,COD,SONLENTERPRISES FRANCHISE,503185,309.0,Bodhan,Delivered,309.0,4183210158841,2231027
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,226010,449.0,Lucknow,Delivered,449.0,4183210158605,2230994
Aktisoft GC moisturising Cream 150G,COD,SONLENTERPRISES FRANCHISE,533101,409.0,Rajahmundry,Delivered,409.0,4183210159003,2231041
