Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
Salubri Moisturizing Lotion 200 ml pack of 2,COD,SONLENTERPRISES FRANCHISE,600130,956.0,Chennai,Delivered,956.0,4183210179664,2233175
Velfour kit B 880002 ,COD,SONLENTERPRISES FRANCHISE,711403,1167.0,Howrah,Delivered,1167.0,4183210179141,2233104
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,500085,484.0,Hyderabad,Delivered,484.0,4183210177914,2232979
Haeroot Hair Serum Pack of 1,COD,SONLENTERPRISES FRANCHISE,110092,1077.0,Delhi,Delivered,1077.0,4183210179443,2233109
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,560067,2490.0,Bangalore,Delivered,2490.0,4183210179605,2233168
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,508001,417.0,Nalgonda,Delivered,417.0,4183210179631,2233164
p soft soap 100 Gm,COD,SONLENTERPRISES FRANCHISE,518301,495.0,Adoni,Delivered,495.0,4183210179690,2233173
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,495452,1668.0,Korba,Delivered,1668.0,4183210179421,2233114
Dreamlite Face Wash 100ml,COD,SONLENTERPRISES FRANCHISE,534122,294.0,Penugonda,Delivered,294.0,4183210179524,2233157
Oilatum Kids Bar Soap 50g Pack of 2,COD,SONLENTERPRISES FRANCHISE,560037,316.0,Bangalore,Delivered,316.0,4183210179745,2233177
aktisoft moisturising lotion 150gm C akt ADVANCE VITAMN C SERUM 30 ML,COD,SONLENTERPRISES FRANCHISE,400005,1450.0,Mumbai,Delivered,1450.0,4183210179476,2233142
ReeBright Cream 30g,COD,SONLENTERPRISES FRANCHISE,560093,484.0,Bangalore,Delivered,484.0,4183210179756,2233162
Oroalbumen Powder 400gm,COD,SONLENTERPRISES FRANCHISE,584101,1269.0,Raichur,Delivered,1269.0,4183210179410,2233136
Acnewin FACE WASH 70g PACK OF 2,COD,SONLENTERPRISES FRANCHISE,581325,499.0,Dandeli,Delivered,499.0,4183210179152,2233116
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,637202,299.0,Tiruchengode,Delivered,299.0,4183210179340,2233123
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,262122,299.0,Puranpur,Delivered,299.0,4183210179056,2233105
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,530001,449.0,Visakhapatnam,Delivered,449.0,4183210179325,2233128
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,530017,899.0,Visakhapatnam,Delivered,899.0,4183210179561,2233160
