Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
STRETCH OIL Pack Of 2 100ml,COD,SONLENTERPRISES FRANCHISE,500054,539.0,Hyderabad,Delivered,539.0,4183210167565,2231953
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,500044,778.0,Hyderabad,Delivered,778.0,4183210167823,2231994
D 10 FACE WASH 100ML,COD,SONLENTERPRISES FRANCHISE,754296,479.0,Chandikhol,Delivered,479.0,4183210167344,2231932
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,573115,489.0,Belur,Delivered,489.0,4183210167510,2231955
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,523201,398.0,Addanki,Delivered,398.0,4183210167425,2231946
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,700088,459.0,Kolkata,Delivered,459.0,4183210167554,2231899
Skyfiz Sugar Free Effervescent Tablet 20 s,COD,SONLENTERPRISES FRANCHISE,497001,1087.0,Ambikapur,Delivered,1087.0,4183210167322,2231928
OMNIFADE INTENSIVE BRIGHTENING AND DEPIGMENTING SERUM 30ML Ahaglow Face Wash Gel 200g,COD,SONLENTERPRISES FRANCHISE,700046,2037.0,Kolkata,Delivered,2037.0,4183210167543,2231924
Hafoos Cream 75 gm pack of 2,COD,SONLENTERPRISES FRANCHISE,700075,529.0,Kolkata,Delivered,529.0,4183210167462,2231947
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,534101,778.0,Tadepalligudem,Delivered,778.0,4183210167451,2231956
BIOHAIR Ultra Shampoo 100ml pack of 2,COD,SONLENTERPRISES FRANCHISE,502334,622.0,Medak,Delivered,622.0,4183210167576,2231963
KabiBite mango flavour diskettes 250g,COD,SONLENTERPRISES FRANCHISE,741301,1177.0,Nabadwip,Delivered,1177.0,4183210167160,2231878
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,560086,1469.0,Bangalore,Delivered,1469.0,4183210167521,2231951
