Description,Payment Mode,Client,Pincode,Amount Payable,City,Status,COD Amount,Waybill Number,Order Number
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,533251,1053,Narsapur,Delivered,1053,4.18321E+12,2233025
Actame C Face Wash 70g,COD,SONLENTERPRISES FRANCHISE,767033,1138,Titilagarh,Delivered,1138,4.18321E+12,2233035
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500077,417,Hyderabad,Delivered,417,4.18321E+12,2232968
Granvalor Trichobest Hair Serum 100ML,COD,SONLENTERPRISES FRANCHISE,799002,1970,Agartala,Delivered,1970,4.18321E+12,2232925
Ahaglow Lotion SPF 50 Sunscreen Lotion,COD,SONLENTERPRISES FRANCHISE,530016,770,Visakhapatnam,Delivered,770,4.18321E+12,2233040
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,400097,688,Mumbai,Delivered,688,4.18321E+12,2233016
MINOPEP ANTI HAIRFALL SHAMPOO 250ML,COD,SONLENTERPRISES FRANCHISE,560036,622,Bangalore,Delivered,622,4.18321E+12,2233051
MEPILEX Ag 10 10cm 287110,COD,SONLENTERPRISES FRANCHISE,560067,2490,Bangalore,Delivered,2490,4.18321E+12,2233036
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,515775,398,Gooty,Delivered,398,4.18321E+12,2233011
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,400080,1469,Mumbai,Delivered,1469,4.18321E+12,2233017
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,221712,339,Rasra,Delivered,339,4.18321E+12,2232971
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,110041,299,Delhi,Delivered,299,4.18321E+12,2233008
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,523213,778,Addanki,Delivered,778,4.18321E+12,2233007
Topgrip Cotton and Rubber Elastic BandaGE B P 15cm X 4cm,COD,SONLENTERPRISES FRANCHISE,670645,849,Mananthavadi,Delivered,849,4.18321E+12,2232995
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,517507,489,Tirupati,Delivered,489,4.18321E+12,2233019
Mediclin soap pack of 3,COD,SONLENTERPRISES FRANCHISE,440014,489,Nagpur,Delivered,489,4.18321E+12,2233039
ALBO SANG 400gm,COD,SONLENTERPRISES FRANCHISE,560054,299,Bangalore,Delivered,299,4.18321E+12,2233023
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,523370,417,CumbumAP,Delivered,417,4.18321E+12,2233024
GLAMUS CREAM,COD,SONLENTERPRISES FRANCHISE,673523,1049,Vadakara,Delivered,1049,4.18321E+12,2232911
GLOWRICH SKIN LIGHTENING SOAP PACK OF 2,COD,SONLENTERPRISES FRANCHISE,500085,417,Hyderabad,Delivered,417,4.18321E+12,2232982
Onon Ketoconazole Shampoo 50gm Pack of 2,COD,SONLENTERPRISES FRANCHISE,845420,449,Chakia,Delivered,449,4.18321E+12,2232918
Sensitran Tooth Powder 100gm Pack Of 6,COD,SONLENTERPRISES FRANCHISE,209625,699,Farrukhabad,Delivered,699,4.18321E+12,2232752
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,518573,749,Sirvella,Delivered,749,4.18321E+12,2233001
aktisoft moisturising lotion 150gm,COD,SONLENTERPRISES FRANCHISE,411057,489,Pune,Delivered,489,4.18321E+12,2232989
Glutalite Gel 30g PACK OF 2,COD,SONLENTERPRISES FRANCHISE,516001,963,Cuddapah,Delivered,963,4.18321E+12,2232893
HOLLISTER 55MM REF 35500 Pack Of 5,COD,SONLENTERPRISES FRANCHISE,673620,1463,Koyilandy,Delivered,1463,4.18321E+12,2233012
RESPONSE SYRUP 300ML,COD,SONLENTERPRISES FRANCHISE,502345,1250,Sadashivpet,Delivered,1250,4.18321E+12,2232877
Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 2 Madhivala LINIMENT Pain Reliever and Soothing Agent 200ml Pack of 1,COD,SONLENTERPRISES FRANCHISE,712232,819,Bally,Delivered,819,4.18321E+12,2232946
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,572103,778,Tumkur,Delivered,778,4.18321E+12,2232969
Dewmoiz Moisturising cream 100ml,COD,SONLENTERPRISES FRANCHISE,517501,697,Tirupati,Delivered,697,4.18321E+12,2232970
ReeHair Advance Hair Growth Capsules 30`S,COD,SONLENTERPRISES FRANCHISE,600078,2868,Chennai,Delivered,2868,4.18321E+12,2232988
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,505001,377,Karim Nagar,Delivered,377,4.18321E+12,2233013
Dankare Gentle Shampoo 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,700088,459,Kolkata,Delivered,459,4.18321E+12,2232947
Madhivala LINIMENT Pain Reliever and Soothing Agent 90ml Pack of 2 Madhivala LINIMENT Pain Reliever and Soothing Agent 90ML,COD,SONLENTERPRISES FRANCHISE,700020,3000,Kolkata,Delivered,3000,4.18321E+12,2232789
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,461111,1370,Itarsi,Delivered,1370,4.18321E+12,2232965
REMORIN CAPSULES pack of 3 3 X30 ,COD,SONLENTERPRISES FRANCHISE,208025,549,Kanpur,Delivered,549,4.18321E+12,2232960
TRICHOGROW SHAMPOO 150ML,COD,SONLENTERPRISES FRANCHISE,507170,778,Kusumanchi,Delivered,778,4.18321E+12,2232983
Dreamlite Face Wash 100 ml Pack Of 2,COD,SONLENTERPRISES FRANCHISE,534425,489,Bhimadole,Delivered,489,4.18321E+12,2232966
Lysil Gel 10gm,COD,SONLENTERPRISES FRANCHISE,313002,1370,Udaipur,Delivered,1370,4.18321E+12,2232886
ALBO SANG 400gm Pack Of 2,COD,SONLENTERPRISES FRANCHISE,843122,899,Saraiya,Delivered,899,4.18321E+12,2232734
Root in serum 60ML,COD,SONLENTERPRISES FRANCHISE,122022,898,Gurgaon,Delivered,898,4.18321E+12,2232889
Whit Care Skin Cream 25 gm PACK OF 2,COD,SONLENTERPRISES FRANCHISE,411060,399,Pune,Delivered,399,4.18321E+12,2232906
SENSODENT K PLUS,COD,SONLENTERPRISES FRANCHISE,622301,257,Karambakkudi,Delivered,257,4.18321E+12,2232937
Dewmoiz Moisturising soap 75gms pack of 2,COD,SONLENTERPRISES FRANCHISE,531116,655,Narsipatnam,Delivered,655,4.18321E+12,2232954
Samahan Powder Sachets 50s,COD,SONLENTERPRISES FRANCHISE,110005,594,Delhi,Delivered,594,4.18321E+12,2232943
